id,author,title,description,url,urlToImage,publishedAt,content,sources
10,Reuters Editorial,Musk 2018 tweets 'false and misleading' -court filing - Reuters,"A federal judge has ruled that Tesla CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court filings by Tesla investors suing the billionaire over the tweets.",https://www.reuters.com/video/watch/idOV226017042022RP1,https://static.reuters.com/resources/r/?d=20220417&i=OV226017042022RP1&r=OV226017042022RP1&t=2,2022-04-17T19:46:21Z,"Posted 
A federal judge has ruled that Tesla CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court filings by Tesla investors suing th… [+29 chars]",Reuters
11,Devindra Hardawar,Engadget Podcast: Apple’s confounding Studio Display and the great new iPad Air,"It’s time to talk about all of those other new Apple gadgets. This week, Engadget Deputy Editor Nathan Ingraham joins Devindra to dive into Apple’s Studio Display, a nice looking 5K monitor that’s really only meant for the Mac faithful. Also, they discuss why…",https://www.engadget.com/engadget-podcast-apple-studio-display-ipad-air-123022577.html,https://s.yimg.com/os/creatr-uploaded-images/2020-11/c8e851c0-2b3d-11eb-baea-6c6fe29971fb,2022-03-25T12:30:22Z,"Its time to talk about all of those other new Apple gadgets. This week, Engadget Deputy Editor Nathan Ingraham joins Devindra to dive into Apples Studio Display, a nice looking 5K monitor thats reall… [+1215 chars]",Engadget
12,,Tesla helps surface groundwater for investors - Reuters.com,"Tesla’s <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> Giga Berlin is finally set to crank out Model Ys and 3s, almost a year late <a href=""/business/autos-transportation/teslas-musk-appears-headed-berlin-austin-twitter-user-e…",https://www.reuters.com/breakingviews/tesla-helps-surface-groundwater-investors-2022-03-22/,https://www.reuters.com/resizer/NloEB4KXdDEh_A0HOGxqKdUL0zI=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6UMYFVKK2JNLTP5RNGLSWMFUOA.jpg,2022-03-22T05:52:00Z,"MELBOURNE, March 22 (Reuters Breakingviews) - Teslas (TSLA.O) Giga Berlin is finally set to crank out Model Ys and 3s, almost a year late read more . Chief Executive Elon Musk routinely misses deadli… [+3759 chars]",Reuters
13,Mat Smith,The Morning After: Elon Musk faces lawsuit over his Twitter investment,"Elon Musk, Tesla CEO, SpaceX boss, that guy, has been Twitter’s largest shareholder for mere weeks but has packed in enough drama and turmoil to make it feel like months.He’s now facing legal action over the handling of his latest investment. A Twitter shareh…",https://www.engadget.com/the-morning-after-elon-musk-faces-lawsuit-over-his-twitter-investment-111507827.html,https://s.yimg.com/os/creatr-uploaded-images/2022-02/d79845b0-8e63-11ec-9bfe-4c0ee6be58a3,2022-04-14T11:15:07Z,"Elon Musk, Tesla CEO, SpaceX boss, that guy, has been Twitters largest shareholder for mere weeks but has packed in enough drama and turmoil to make it feel like months.
Hes now facing legal action … [+3037 chars]",Engadget
14,BeauHD,Tesla Officially Opens Texas Gigafactory,"An anonymous reader quotes a report from The Verge: Tesla opened its Austin, Texas-based Gigafactory on Thursday, a crucial step in the company's delayed plans to begin production of its electric Cybertruck. To celebrate the opening, Tesla held an event, bill…",https://news.slashdot.org/story/22/04/08/201239/tesla-officially-opens-texas-gigafactory,https://a.fsdn.com/sd/topics/usa_64.png,2022-04-08T20:40:00Z,"Tesla opened its Austin, Texas-based Gigafactory on Thursday, a crucial step in the company's delayed plans to begin production of its electric Cybertruck. To celebrate the opening, Tesla held an eve… [+2168 chars]",Slashdot.org
15,,Tesla proposes 2nd stock split in less than 2 years - Yahoo Finance,"<ol><li>Tesla proposes 2nd stock split in less than 2 years  Yahoo Finance
</li><li>Tesla seeks second stock split in less than 2 years - Business News  Castanet.net
</li><li>Tesla to ask shareholders to authorize additional shares  CNBC Television
</li><l…",https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DqdpsGejtJCY,,2022-03-28T16:14:21Z,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later",YouTube
16,Richard Duggan,Tesla Signing Multi-Year Deal With Vale for Nickel Supply: Bloomberg News - VOCM,"<ol><li>Tesla Signing Multi-Year Deal With Vale for Nickel Supply: Bloomberg News  VOCM
</li><li>How Tesla Avoided a Nickel Supply Crisis  Bloomberg Technology
</li><li>Tesla dodges nickel crisis with secret deal locking in supplies  BNN
</li><li>FPX Nicke…",https://vocm.com/2022/03/30/tesla-signing-multi-year-deal-with-vale-for-nickel-supply/,https://media.socastsrm.com/wordpress/wp-content/blogs.dir/900/files/2020/06/Voiseys-Bay-Site.jpg,2022-03-30T19:07:00Z,"There are reports that Tesla has signed what’s being called a secret multi-year deal with Vale for the supply of nickel. 
Vale has a nickel mine at Voisey’s Bay in Labrador. 
Business market news l… [+646 chars]",VOCM
17,Jon Fingas,Kia's EV9 SUV will move from concept to reality in 2023,"If you thought it wouldn't be long before Kia turned the Concept EV9 into a production model, you guessed correctly. The automaker has revealed that a road-ready version of the electric SUV will be available in Europe in 2023. There was no mention of launches…",https://www.engadget.com/kia-ev9-suv-release-date-152842660.html,https://s.yimg.com/os/creatr-uploaded-images/2022-03/c3cfdba0-af70-11ec-bdff-163b8643d853,2022-03-29T15:28:42Z,"If you thought it wouldn't be long before Kia turned the Concept EV9 into a production model, you guessed correctly. The automaker has revealed that a road-ready version of the electric SUV will be a… [+1320 chars]",Engadget
18,,"Judge rules Musk's tweets over taking Tesla private were false, investors say - Reuters","A federal judge has ruled that Tesla <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court filings by Tesla investo…",https://www.reuters.com/business/autos-transportation/judge-rules-musks-tweets-over-taking-tesla-private-were-false-investors-say-2022-04-16/,https://www.reuters.com/resizer/WRMVZtUlrWrBQrT7F6DDCknGwbw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UVLSBLZRHBPSNEMULWQ7BIODNI.jpg,2022-04-16T22:44:00Z,"SAN FRANCISCO, April 16 (Reuters) - A federal judge has ruled that Tesla (TSLA.O) CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court… [+2105 chars]",Reuters
19,Tom Krisher,Tesla stockholders ask judge to silence Musk in fraud case - CP24 Toronto's Breaking News,"<ol><li>Tesla stockholders ask judge to silence Musk in fraud case  CP24 Toronto's Breaking News
</li><li>Musk's tweet about taking Tesla private was false- new court filing says  Drive Tesla Canada
</li><li>Musk 2018 tweets 'false and misleading,' court ru…",https://www.cp24.com/world/tesla-stockholders-ask-judge-to-silence-musk-in-fraud-case-1.5864935,https://www.cp24.com/polopoly_fs/1.5864936.1650232945!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2022-04-17T22:02:46Z,"DETROIT (AP) - A group of Tesla shareholders suing CEO Elon Musk over some 2018 tweets about taking the company private is asking a federal judge to order Musk to stop commenting on the case.
Lawyer… [+3920 chars]",CP24 Toronto's Breaking News
